event_date,red_fighter_name,blue_fighter_name,bet_number,flat_profit,cumulative_profit,rolling_50_roi
2024-01-13,ANDREI ARLOVSKI,WALDO CORTES ACOSTA,1,-1.0,-1.0,
2024-01-13,FARID BASHARAT,TAYLOR LAPILUS,2,-1.0,-2.0,
2024-01-13,MAGOMED ANKALAEV,JOHNNY WALKER,3,-1.0,-3.0,
2024-01-13,NIKOLAS MOTTA,TOM NOLAN,4,2.85,-0.1499999999999999,
2024-01-13,WESTIN WILSON,JEAN SILVA,5,-1.0,-1.15,
2024-01-20,BRAD KATONA,GARRETT ARMFIELD,6,1.95,0.8,
2024-01-20,CHARLES JOURDAIN,SEAN WOODSON,7,1.7999999999999998,2.5999999999999996,
2024-01-20,CHRIS CURTIS,MARC-ANDRE BARRIAULT,8,-1.0,1.5999999999999996,
2024-01-20,JASMINE JASUDAVICIUS,PRISCILA CACHOEIRA,9,-1.0,0.5999999999999996,
2024-01-20,NEIL MAGNY,MIKE MALOTT,10,3.0,3.5999999999999996,0.36
2024-01-20,SEAN STRICKLAND,DRICUS DU PLESSIS,11,0.8928571428571428,4.492857142857142,0.4084415584415584
2024-01-20,SERHIY SIDEY,RAMON TAVERAS,12,1.64,6.132857142857142,0.5110714285714285
2024-02-03,GILBERT URBINA,CHARLES RADTKE,13,1.7999999999999998,7.9328571428571415,0.6102197802197802
2024-02-03,RENATO MOICANO,DREW DOBER,14,-1.0,6.9328571428571415,0.495204081632653
2024-02-10,DAN IGE,ANDRE FILI,15,-1.0,5.9328571428571415,0.3955238095238095
2024-02-10,MICHAEL JOHNSON,DARRIUS FLOWERS,16,-1.0,4.9328571428571415,0.3083035714285714
2024-02-10,ROBERT BRYCZEK,IHOR POTIERIA,17,1.9,6.832857142857142,0.40193277310924364
2024-02-10,TREVIN GILES,CARLOS PRATES,18,-1.0,5.832857142857142,0.324047619047619
2024-02-17,ALEXANDER VOLKANOVSKI,ILIA TOPURIA,19,1.2000000000000002,7.032857142857142,0.37015037593984956
2024-02-17,AMANDA LEMOS,MACKENZIE DERN,20,-1.0,6.032857142857142,0.3016428571428571
2024-02-17,GEOFF NEAL,IAN MACHADO GARRY,21,-1.0,5.032857142857142,0.2396598639455782
2024-02-17,JOSH QUINLAN,DANNY BARLOW,22,-1.0,4.032857142857142,0.1833116883116883
2024-02-17,MARCOS ROGERIO DE LIMA,JUNIOR TAFA,23,-1.0,3.032857142857142,0.13186335403726704
2024-02-17,MERAB DVALISHVILI,HENRY CEJUDO,24,0.3355704697986577,3.3684276126557995,0.140351150527325
2024-02-17,OBAN ELLIOTT,VAL WOODBURN,25,-1.0,2.3684276126557995,0.094737104506232
2024-02-17,RINYA NAKAMURA,CARLOS VERA,26,-1.0,1.3684276126557995,0.05263183125599231
2024-02-17,ROBERT WHITTAKER,PAULO COSTA,27,-1.0,0.3684276126557995,0.013645467135399998
2024-02-24,CLAUDIO PUELLES,FARES ZIAM,28,-1.0,-0.6315723873442005,-0.022556156690864287
2024-02-24,DANIEL ZELLHUBER,FRANCISCO PRADO,29,-1.0,-1.6315723873442005,-0.056261116804972415
2024-02-24,EDGAR CHAIREZ,DANIEL LACERDA,30,-1.0,-2.6315723873442005,-0.08771907957814
2024-02-24,ERIK SILVA,MUHAMMAD NAIMOV,31,-1.0,-3.6315723873442005,-0.11714749636594193
2024-02-24,JESUS AGUILAR,MATEUS MENDONCA,32,1.14,-2.491572387344201,-0.07786163710450625
2024-02-24,VICTOR ALTAMIRANO,FELIPE DOS SANTOS,33,-1.0,-3.491572387344201,-0.10580522385891515
2024-02-24,YAZMIN JAUREGUI,SAM HUGHES,34,-1.0,-4.491572387344201,-0.13210507021600587
2024-03-02,ABDUL-KAREEM AL-SELWADY,LOIK RADZHABOV,35,1.14,-3.351572387344201,-0.09575921106697716
2024-03-02,AIEMANN ZAHABI,JAVID BASHARAT,36,5.5,2.148427612655799,0.05967854479599444
2024-03-02,ALEX PEREZ,MUHAMMAD MOKAEV,37,-1.0,1.1484276126557988,0.031038584125832425
2024-03-02,CHRISTIAN LEROY DUNCAN,CLAUDIO RIBEIRO,38,-1.0,0.14842761265579885,0.003905989806731572
2024-03-02,ERYK ANDERS,JAMIE PICKETT,39,-1.0,-0.8515723873442012,-0.02183518941908206
2024-03-02,LUDOVIT KLEIN,AJ CUNNINGHAM,40,-1.0,-1.8515723873442012,-0.04628930968360501
2024-03-02,MATT SCHNELL,STEVE ERCEG,41,-1.0,-2.851572387344201,-0.06955054603278538
2024-03-02,UMAR NURMAGOMEDOV,BEKZAT ALMAKHAN,42,-1.0,-3.851572387344201,-0.0917041044605762
2024-03-09,MATEUSZ GAMROT,RAFAEL DOS ANJOS,43,-1.0,-4.851572387344201,-0.11282726482195815
2024-03-09,PETR YAN,SONG YADONG,44,-1.0,-5.851572387344201,-0.13299028153055
2024-03-09,ROBELIS DESPAIGNE,JOSH PARISIAN,45,-1.0,-6.851572387344201,-0.15225716416320445
2024-03-09,SEAN O'MALLEY,MARLON VERA,46,-1.0,-7.851572387344201,-0.17068635624661305
2024-03-16,CHRISTIAN RODRIGUEZ,ISAAC DULGARIAN,47,1.7000000000000002,-6.151572387344201,-0.13088451887966382
2024-03-16,OVINCE SAINT PREUX,KENNEDY NZECHUKWU,48,4.55,-1.6015723873442012,-0.03336609140300417
2024-03-23,AMANDA RIBAS,ROSE NAMAJUNAS,49,-1.0,-2.601572387344201,-0.053093314027432656
2024-03-23,JARNO ERRENS,STEVEN NGUYEN,50,1.3600000000000003,-1.2415723873442008,-0.024831447746884
2024-03-23,KARL WILLIAMS,JUSTIN TAFA,51,0.4878048780487805,-0.7537675092954204,0.004924649814091611
2024-03-23,MILES JOHNS,CODY GIBSON,52,0.704225352112676,-0.04954215718274435,0.03900915685634513
2024-03-30,BILL ALGEO,KYLE NELSON,53,2.4,2.3504578428172556,0.10700915685634513
2024-03-30,CHIDI NJOKUANI,RHYS MCKEE,54,-1.0,1.3504578428172556,0.03000915685634513
2024-03-30,CHRIS WEIDMAN,BRUNO SILVA,55,1.4500000000000002,2.8004578428172557,0.07900915685634513
2024-03-30,ERIN BLANCHFIELD,MANON FIOROT,56,1.7999999999999998,4.600457842817256,0.07600915685634513
2024-03-30,JULIO ARCE,HERBERT BURNS,57,-1.0,3.6004578428172556,0.020009156856345137
2024-03-30,NURSULTON RUZIBOEV,SEDRIQUES DUMAS,58,-1.0,2.6004578428172556,0.020009156856345137
2024-03-30,VICENTE LUQUE,JOAQUIN BUCKLEY,59,1.2400000000000002,3.8404578428172558,0.06480915685634514
2024-03-30,VIRNA JANDIROBA,LOOPY GODINEZ,60,1.7999999999999998,5.640457842817256,0.04080915685634514
2024-04-06,COURT MCGEE,ALEX MORONO,61,-1.0,4.640457842817256,0.002952013999202281
2024-04-06,DAN ARGUETA,JEAN MATSUMOTO,62,-1.0,3.6404578428172556,-0.04984798600079772
