subset_size,cardio_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_previous_best,delta_log_loss_vs_full_cardio,cardio_features
4,4,0.6519253157588675,0.639641480974472,0.2302860656599898,0.6096916299559472,0.0014614753769685018,0.000535620905842471,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate"
4,4,0.6519324901874268,0.6395971176515325,0.23028948772955662,0.6096916299559472,0.0014543009484091485,0.0005284464772831177,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
4,4,0.6519349103244758,0.6396288057393464,0.23029054698972376,0.6088105726872247,0.0014518808113601622,0.0005260263402341314,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate"
3,3,0.6519399243659112,0.6395400790934672,0.23029304722384117,0.6079295154185022,0.0014468667699247817,0.0005210122987987509,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_red_late_finish_rate"
4,4,0.6519416021538156,0.6395495855198113,0.23029388622725847,0.6079295154185022,0.0014451889820203956,0.0005193345108943648,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
2,2,0.6520013651100033,0.6390235632620985,0.2303295117483169,0.6158590308370044,0.0013854260258326923,0.00045957155470666144,"diff_decision_rate, pre_fight_red_late_finish_rate"
4,4,0.652025198328293,0.6393055872436434,0.23033007983585801,0.6096916299559472,0.0013615928075429995,0.0004357383364169687,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_red_late_finish_rate, diff_five_round_experience"
3,3,0.652057416431525,0.6387763961771491,0.23035674515654075,0.6105726872246696,0.0013293747043109372,0.0004035202331849064,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate"
4,4,0.6520588248105235,0.6387478768981165,0.23035804284575528,0.6096916299559472,0.001327966325312513,0.0004021118541864821,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
3,3,0.6520661166807601,0.6387795649859305,0.2303608655516511,0.6105726872246696,0.0013206744550758875,0.00039481998394985673,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
3,3,0.6520661192611806,0.6388366035439957,0.23036083355030607,0.6114537444933921,0.0013206718746553436,0.0003948174035293128,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate"
3,3,0.6520721874992149,0.6387700585595864,0.23036388889756376,0.6105726872246696,0.001314603636621059,0.00038874916549502814,"diff_decision_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
3,3,0.65214731105522,0.6382060105964966,0.2304048570697961,0.614977973568282,0.0012394800806160289,0.00031362560948999807,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate"
3,3,0.6522099602618684,0.6385260602834182,0.23042772894310126,0.6114537444933921,0.0011768308739675826,0.00025097640284155176,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate"
2,2,0.652226357478287,0.638044401348645,0.2304477601784447,0.614977973568282,0.0011604336575489205,0.00023457918642288966,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate"
4,4,0.6522517236291133,0.6384246584024134,0.23044621415333133,0.6114537444933921,0.0011350675067226534,0.00020921303559662263,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
3,3,0.652252292396458,0.638893642102061,0.23043737300135164,0.6167400881057269,0.001134498739377987,0.00020864426825195626,"diff_decision_rate, pre_fight_red_late_finish_rate, diff_five_round_experience"
4,4,0.6522939158215524,0.6380951022891475,0.2304688356293183,0.6176211453744493,0.0010928753142835923,0.0001670208431575615,"diff_avg_fight_duration_seconds, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_experience"
4,4,0.652310766756644,0.638469021725353,0.23046579496910383,0.613215859030837,0.0010760243791919644,0.00015016990806593356,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6523181661510212,0.6384721905341344,0.23046930992584513,0.6140969162995594,0.0010686249848147478,0.00014277051368871696,"diff_decision_rate, diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_experience"
4,4,0.652318487739992,0.6384468400638832,0.23046948413377236,0.6140969162995594,0.0010683033958439614,0.00014244892471793058,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6523245260410632,0.6383929703145993,0.23047250531697938,0.6140969162995594,0.0010622650947728074,0.00013641062364677659,"diff_decision_rate, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
3,3,0.6524293277387867,0.6376641442948766,0.23055194827364112,0.6061674008810573,0.0009574633970492741,3.160892592324327e-05,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate"
4,4,0.6524585669140263,0.6390932770552894,0.23052146419713704,0.6158590308370044,0.0009282242218097148,2.3697506836839466e-06,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6524810347490907,0.6379683499378914,0.23055759426277797,0.6158590308370044,0.0009057563867452822,-2.009808438074856e-05,"diff_third_round_or_later_rate, pre_fight_red_late_finish_rate, diff_five_round_experience"
2,2,0.6524915133488001,0.6376292873982812,0.2305867953355072,0.6079295154185022,0.0008952777870359085,-3.0576684090122264e-05,"diff_avg_fight_duration_seconds, pre_fight_red_late_finish_rate"
