probability_bin,rows,mean_predicted_probability,observed_red_win_rate
0,116,0.3970002168798364,0.35344827586206895
1,115,0.4739299237226766,0.391304347826087
2,116,0.5077016495783812,0.39655172413793105
3,115,0.5376432551620718,0.48695652173913045
4,116,0.5606842557469957,0.5431034482758621
5,115,0.5779892260159364,0.5304347826086957
6,115,0.598442715664219,0.591304347826087
7,116,0.6260988328383411,0.646551724137931
8,115,0.6583272487725867,0.6869565217391305
9,116,0.730509774018135,0.8103448275862069
