probability_bin,rows,mean_predicted_probability,observed_red_win_rate
0,116,0.35125847532331933,0.3448275862068966
1,115,0.4208800862834232,0.3739130434782609
2,116,0.45943874445420074,0.4224137931034483
3,115,0.48815683033358503,0.5739130434782609
4,116,0.5093311970291453,0.46551724137931033
5,115,0.5299578119146836,0.6086956521739131
6,115,0.5531344630890889,0.6347826086956522
7,116,0.5795786516640409,0.5431034482758621
8,115,0.6173224332405507,0.7391304347826086
9,116,0.6901083368385929,0.7327586206896551
