iteration,log_loss,roc_auc,brier_score,accuracy,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap
100,0.6676028585524499,0.6111373069083229,0.23724605383274996,0.6051202482544609,800,2,1,0.3,12.0,log_loss,balanced_subsample,True
50,0.667968557772714,0.6114418330509099,0.23743775713821777,0.6058960434445306,1200,2,2,log2,12.0,entropy,balanced_subsample,True
14,0.6680361918867096,0.6149782656745009,0.23754008312306518,0.6066718386346005,200,10,2,0.3,10.0,gini,balanced_subsample,True
3,0.6681482285209922,0.6189542965200521,0.23769461212242296,0.6027928626842514,200,50,1,0.3,8.0,log_loss,balanced_subsample,True
31,0.6682726871856803,0.6159409612220339,0.2377538416583523,0.6066718386346005,300,2,5,sqrt,8.0,gini,balanced,True
83,0.668522762927434,0.6160981360053046,0.23786091409849913,0.6051202482544609,800,10,5,sqrt,8.0,entropy,balanced_subsample,True
41,0.6685391321574347,0.615953240501977,0.2378874916928294,0.6051202482544609,500,2,5,sqrt,8.0,log_loss,balanced_subsample,True
35,0.6689087688712396,0.6130160367396056,0.23798959896037455,0.6035686578743211,300,5,5,log2,10.0,entropy,balanced,True
30,0.668961301414235,0.6173874603993222,0.23810334713230022,0.6089992242048099,800,2,5,log2,6.0,entropy,balanced_subsample,True
79,0.6692129109560373,0.6163437216041652,0.238229866328072,0.6051202482544609,1200,5,10,0.3,6.0,log_loss,balanced,True
80,0.6692887247856923,0.6163584567400968,0.23825287789820676,0.5989138867339022,1200,50,20,log2,8.0,entropy,balanced,True
29,0.6693747038015349,0.6166629828826837,0.23830742648367403,0.6035686578743211,300,10,2,log2,5.0,gini,balanced_subsample,True
85,0.6694576754647109,0.6138215575038679,0.23835962936942903,0.6035686578743211,200,20,2,0.5,5.0,log_loss,balanced,True
56,0.6694845556221176,0.6161472531250768,0.2383352155546848,0.6051202482544609,500,5,20,log2,8.0,entropy,balanced,True
49,0.6697001274981386,0.6134040619858052,0.23847236113057893,0.5981380915438325,300,50,5,0.5,6.0,entropy,balanced_subsample,True
