event_date,red_fighter_name,blue_fighter_name
2010-01-02,RASHAD EVANS,THIAGO SILVA
2010-01-02,PAUL DALEY,DUSTIN HAZELETT
2010-01-02,JIM MILLER,DUANE LUDWIG
2010-01-02,JUNIOR DOS SANTOS,GILBERT YVEL
2010-01-02,MARK MUNOZ,RYAN JENSEN
2010-01-02,COLE MILLER,DAN LAUZON
2010-01-02,JAKE ELLENBERGER,MIKE PYLE
2010-01-02,RAFAELLO OLIVEIRA,JOHN GUNDERSON
2010-01-02,MARTIN KAMPMANN,JACOB VOLKMANN
2010-01-02,SAM STOUT,JOE LAUZON
2010-01-11,EVAN DUNHAM,EFRAIN ESCUDERO
2010-01-11,GRAY MAYNARD,NATE DIAZ
2010-01-11,AARON SIMPSON,TOM LAWLOR
2010-01-11,RORY MACDONALD,MIKE GUYMON
2010-01-11,AMIR SADOLLAH,BRAD BLACKBURN
2010-01-11,RICK STORY,JESSE LENNOX
2010-01-11,GERALD HARRIS,JOHN SALTER
2010-01-11,THIAGO TAVARES,NIK LENTZ
2010-01-11,RAFAEL DOS ANJOS,KYLE BRADLEY
2010-01-11,CHRIS LEBEN,JAY SILVA
2010-01-11,NICK CATONE,JESSE FORBES
2010-02-06,CHAEL SONNEN,NATE MARQUARDT
2010-02-06,RANDY COUTURE,MARK COLEMAN
2010-02-06,MATT SERRA,FRANK TRIGG
2010-02-06,PAULO THIAGO,MIKE SWICK
