fold_id,train_start_date,train_end_date,calibration_start_date,calibration_end_date,test_start_date,test_end_date,calibration_year,test_year,train_rows,calibration_rows,test_rows,train_red_win_mean,calibration_red_win_mean,test_red_win_mean
1,2010-03-21,2011-12-30,2012-01-14,2012-12-29,2013-01-19,2013-12-28,2012,2013,420,264,310,0.5357142857142857,0.5984848484848485,0.5838709677419355
2,2010-03-21,2012-12-29,2013-01-19,2013-12-28,2014-01-04,2014-12-20,2013,2014,684,310,381,0.5599415204678363,0.5838709677419355,0.6272965879265092
3,2010-03-21,2013-12-28,2014-01-04,2014-12-20,2015-01-03,2015-12-19,2014,2015,994,381,364,0.5674044265593562,0.6272965879265092,0.5631868131868132
4,2010-03-21,2014-12-20,2015-01-03,2015-12-19,2016-01-02,2016-12-30,2015,2016,1375,364,416,0.584,0.5631868131868132,0.5769230769230769
5,2010-03-21,2015-12-19,2016-01-02,2016-12-30,2017-01-15,2017-12-30,2016,2017,1739,416,397,0.5796434732604946,0.5769230769230769,0.5491183879093199
6,2010-03-21,2016-12-30,2017-01-15,2017-12-30,2018-01-14,2018-12-29,2017,2018,2155,397,436,0.5791183294663573,0.5491183879093199,0.5527522935779816
7,2010-03-21,2017-12-30,2018-01-14,2018-12-29,2019-01-19,2019-12-21,2018,2019,2552,436,469,0.5744514106583072,0.5527522935779816,0.5628997867803838
8,2010-03-21,2018-12-29,2019-01-19,2019-12-21,2020-01-18,2020-12-19,2019,2020,2988,469,409,0.571285140562249,0.5628997867803838,0.6161369193154034
9,2010-03-21,2019-12-21,2020-01-18,2020-12-19,2021-01-16,2021-12-18,2020,2021,3457,409,398,0.5701475267573041,0.6161369193154034,0.5477386934673367
10,2010-03-21,2020-12-19,2021-01-16,2021-12-18,2022-01-15,2022-12-17,2021,2022,3866,398,293,0.5750129332643559,0.5477386934673367,0.5802047781569966
11,2010-03-21,2021-12-18,2022-01-15,2022-12-17,2023-01-14,2023-12-09,2022,2023,4264,293,160,0.5724671669793621,0.5802047781569966,0.54375
